distance_km,driver_experience_years,restaurant_rating,order_items,preparation_time_min,weather,traffic_level,time_of_day,vehicle_type,delivery_area,day_of_week,delivery_time_min
0.88,2.7,3.8,5,16.5,Rain,High,Morning,Car,Suburban,Monday,43.9
6.76,,3.2,3,12.9,Clear,High,Morning,Scooter,Suburban,Tuesday,51.7
10.82,6.7,4.0,3,12.0,Cloudy,Medium,Morning,Car,Rural,Monday,53.0
4.54,2.3,3.8,4,15.5,Fog,Medium,Afternoon,Bike,Urban,Monday,41.6
8.65,1.7,3.6,10,21.4,Clear,High,Evening,Scooter,Urban,Saturday,65.1
4.81,4.7,4.1,4,12.3,Clear,Medium,Morning,Scooter,Suburban,Sunday,37.3
4.68,1.2,3.7,6,14.1,Clear,High,Evening,Car,Urban,Saturday,49.7
2.91,1.2,,4,11.1,Rain,High,Evening,Bike,Urban,Saturday,49.3
8.92,2.4,3.7,3,41.3,Clear,High,Morning,Bike,Suburban,Monday,87.4
4.63,2.3,5.0,3,13.6,Clear,High,Morning,Scooter,Rural,Sunday,47.3
7.57,9.3,4.6,1,31.7,Cloudy,High,Evening,Scooter,Urban,Thursday,73.6
2.29,6.0,3.9,7,16.2,Clear,High,Evening,Car,Suburban,Saturday,41.5
3.98,6.1,3.9,5,14.5,Clear,Low,Afternoon,Scooter,Urban,Friday,22.5
1.88,4.6,4.1,5,14.9,Cloudy,High,Evening,Car,Urban,Wednesday,43.0
3.15,2.4,4.4,7,21.5,Clear,High,Morning,Scooter,Urban,Tuesday,49.7
,2.8,4.0,4,21.3,Storm,High,Afternoon,Car,Urban,Monday,57.4
3.38,4.3,3.7,6,28.0,Clear,Medium,Evening,Car,Urban,Wednesday,48.5
7.92,1.5,3.6,7,16.7,,High,Afternoon,Bike,Suburban,Thursday,68.1
2.85,1.5,4.1,1,19.4,Cloudy,High,Evening,Bike,Suburban,Sunday,50.8
0.99,5.6,3.9,2,10.0,Clear,Low,Afternoon,Car,Urban,Monday,18.1
5.71,4.9,4.3,5,29.1,Clear,High,Evening,Bike,Urban,Friday,60.5
2.62,1.4,3.3,6,11.8,Cloudy,High,Afternoon,Scooter,Urban,Thursday,40.4
7.21,1.3,4.3,2,9.0,Clear,Low,Afternoon,Bike,Rural,Monday,33.6
8.26,1.4,4.0,3,15.3,Clear,High,Morning,Car,Rural,Wednesday,73.7
0.5,5.5,3.5,6,,Fog,High,Morning,Bike,Urban,Thursday,58.7
2.73,6.6,4.3,1,11.7,Cloudy,High,Evening,Scooter,Urban,Thursday,34.5
9.08,1.5,4.3,7,19.6,Fog,Medium,Morning,Scooter,Urban,Tuesday,59.0
5.48,3.7,3.8,1,14.4,Clear,Low,Morning,Bike,Suburban,Monday,32.0
4.04,1.4,4.4,6,14.4,Clear,,Morning,,Urban,Wednesday,29.5
3.77,7.5,3.6,4,19.8,Cloudy,High,Morning,Car,Urban,Saturday,53.5
7.92,0.7,3.3,2,17.2,Clear,High,Evening,Scooter,Urban,Saturday,66.7
2.63,4.0,4.1,7,23.4,Clear,Low,Afternoon,Bicycle,Urban,Tuesday,38.3
3.26,2.4,3.8,5,29.2,Clear,Medium,Night,Car,Urban,Friday,48.6
0.5,1.5,3.7,7,34.4,Clear,High,Morning,Scooter,Urban,Sunday,57.9
3.8,1.0,4.4,6,21.8,Rain,Low,Evening,Scooter,Suburban,Tuesday,41.7
5.69,1.2,4.2,5,17.9,Clear,Low,Afternoon,Bicycle,Urban,Monday,36.6
2.8,2.7,4.8,4,21.0,Storm,High,Afternoon,Scooter,Urban,Monday,59.2
5.18,1.9,4.3,6,21.1,Clear,Medium,Evening,Bike,Urban,Tuesday,47.7
3.25,3.5,4.4,3,8.5,Clear,Low,Night,Car,Urban,Saturday,26.5
,9.6,3.8,4,9.0,Clear,High,Evening,Bicycle,Suburban,Saturday,46.2
8.29,5.8,3.3,3,21.1,Cloudy,Medium,Morning,Scooter,Rural,Thursday,55.2
,5.5,4.9,3,22.4,Rain,High,Morning,Bike,Urban,Wednesday,46.9
7.18,5.4,4.3,5,9.8,Rain,High,Evening,Scooter,Rural,Saturday,67.3
3.81,4.5,4.8,3,10.9,Clear,Low,Afternoon,Car,Suburban,Tuesday,25.3
3.74,6.5,3.7,4,23.7,Clear,Low,Evening,Bike,Suburban,Monday,34.6
10.63,2.1,4.5,5,16.9,Rain,High,Evening,Car,Urban,Monday,81.8
3.67,4.5,4.3,6,19.3,Clear,Medium,Evening,Scooter,Urban,Saturday,39.8
9.19,0.7,4.6,4,,Cloudy,Medium,Evening,Bike,Urban,Friday,47.0
6.52,5.5,4.4,5,22.4,Clear,Medium,Evening,Scooter,Rural,Friday,47.2
5.21,3.5,4.1,5,9.5,Clear,High,Morning,Bike,Suburban,Friday,45.0
6.74,3.1,,6,23.2,Clear,Medium,Morning,Car,Urban,Tuesday,56.6
1.16,1.4,4.0,2,29.0,Clear,Medium,Evening,Bike,Urban,Wednesday,45.3
5.8,1.1,4.5,2,30.8,Fog,Medium,Afternoon,Car,Urban,Saturday,61.2
0.62,2.3,3.8,3,21.4,Cloudy,Medium,Afternoon,Bike,Urban,Sunday,33.1
,3.5,3.9,7,11.2,Fog,Medium,Afternoon,Bicycle,Suburban,Thursday,37.4
4.15,5.9,4.1,7,23.6,Rain,High,Evening,Car,Urban,Monday,63.1
10.76,6.5,4.4,6,16.4,Clear,High,Evening,Bike,Suburban,Sunday,72.3
5.82,6.0,4.2,3,8.1,Cloudy,Medium,Evening,Bicycle,Suburban,Wednesday,33.1
2.48,4.7,4.0,3,17.2,Clear,Medium,Afternoon,Scooter,Suburban,Wednesday,24.4
7.81,1.0,4.6,4,26.4,Rain,Medium,Afternoon,Scooter,Suburban,Monday,49.8
1.45,3.1,4.4,3,6.1,Clear,High,Afternoon,Car,Urban,Monday,31.6
0.8,8.1,4.0,2,10.9,Fog,Low,Afternoon,Car,Suburban,Friday,18.1
5.16,9.6,3.8,3,28.5,Cloudy,High,Evening,Scooter,Suburban,Friday,58.8
2.75,1.0,4.1,5,15.0,Cloudy,Medium,Evening,Bicycle,Urban,Tuesday,46.3
4.26,2.4,3.9,7,17.0,Cloudy,High,Morning,Bike,Urban,Tuesday,53.1
1.42,8.4,3.9,4,12.5,Cloudy,High,Morning,Bike,Urban,Thursday,29.3
8.35,6.6,4.4,6,8.7,Cloudy,High,Morning,Bike,Urban,Thursday,55.7
7.83,3.3,4.6,5,9.6,Cloudy,High,Night,Bike,Urban,Wednesday,54.3
1.14,4.0,4.1,1,22.4,Clear,Medium,Evening,Scooter,Urban,Tuesday,32.6
1.76,4.5,4.1,3,11.5,Cloudy,Medium,Morning,Bike,Suburban,Saturday,26.1
9.25,6.8,3.9,5,15.4,Clear,Medium,Night,Scooter,Urban,Sunday,41.3
2.72,6.6,3.7,3,11.5,Cloudy,Low,Afternoon,Bike,Urban,Wednesday,22.7
1.48,2.6,4.5,5,14.3,Cloudy,Low,Afternoon,Bike,Urban,Friday,21.3
4.62,8.0,3.7,6,22.9,Clear,,Night,Car,Urban,Saturday,40.8
7.97,8.7,3.9,2,32.0,Rain,Medium,Morning,Bike,Rural,Monday,68.7
1.43,2.9,3.9,9,33.8,Cloudy,High,Morning,Scooter,Urban,Sunday,52.8
10.99,8.4,4.3,4,17.5,Cloudy,,Evening,Car,Urban,Thursday,70.9
0.78,2.8,4.1,3,23.2,Cloudy,High,Morning,Scooter,Urban,Thursday,42.2
,5.4,3.9,2,25.3,Cloudy,High,Evening,Car,Urban,Thursday,53.9
6.85,9.2,4.7,4,24.9,Rain,High,Morning,Bicycle,Suburban,Tuesday,65.3
8.73,7.3,4.8,2,8.5,Clear,High,Morning,Bike,Suburban,Saturday,56.6
5.9,1.9,4.3,1,15.3,Clear,High,Morning,Scooter,Urban,Saturday,51.5
7.13,4.5,4.2,3,20.5,Cloudy,Medium,Afternoon,Bike,Suburban,Monday,47.3
6.39,5.0,4.0,5,12.4,Clear,Medium,Morning,Bike,Urban,Friday,35.7
4.14,4.0,4.1,6,12.4,Clear,High,Morning,Scooter,Suburban,Sunday,42.6
2.08,2.1,3.7,4,19.0,Clear,High,Evening,Scooter,Urban,Sunday,44.3
2.98,2.0,4.5,2,16.5,Clear,Medium,Afternoon,Car,Urban,Friday,33.6
1.66,3.0,4.1,5,27.4,Storm,Medium,Afternoon,Scooter,Suburban,Tuesday,45.3
4.39,1.0,3.9,7,11.0,Clear,High,Morning,Car,Suburban,Wednesday,48.0
2.05,4.9,4.0,3,7.3,Clear,Medium,Afternoon,Scooter,Urban,Tuesday,21.7
6.43,0.6,4.4,8,31.8,Fog,,Afternoon,Bike,Rural,Saturday,79.8
6.68,10.2,4.1,6,15.4,Storm,High,Evening,Bike,Rural,Saturday,75.8
4.93,3.2,3.9,5,10.4,Clear,Medium,Morning,Scooter,Urban,Sunday,37.1
3.6,2.0,3.4,7,23.2,Fog,High,Evening,Scooter,Suburban,Monday,61.2
3.84,1.3,4.1,3,14.3,Clear,Low,Night,Bike,Suburban,Sunday,29.8
1.28,6.9,4.3,5,25.0,Rain,High,Morning,Scooter,Urban,Sunday,47.1
2.49,4.5,4.0,4,16.3,Clear,High,Morning,Bike,Urban,Friday,42.5
0.5,4.0,3.8,3,9.7,Clear,High,Morning,,Suburban,Sunday,26.7
5.72,4.5,3.7,4,9.8,Clear,Medium,Evening,Bike,Suburban,Thursday,36.3
3.19,4.6,4.0,4,7.5,Rain,High,Morning,Bike,Urban,Wednesday,43.2
2.86,4.9,3.7,2,17.6,Clear,High,Evening,Bike,Urban,Tuesday,44.2
4.49,4.3,3.7,5,9.7,Cloudy,High,Evening,Bike,Urban,Monday,46.2
10.4,5.4,4.0,2,13.4,Rain,Medium,Evening,Scooter,Rural,Monday,50.7
,4.7,4.9,1,13.3,Clear,Medium,Afternoon,Bicycle,Suburban,Friday,35.9
4.95,0.7,5.0,6,20.4,Fog,Medium,Night,Bike,Urban,Wednesday,44.0
8.46,1.9,4.6,6,15.3,Clear,Medium,Morning,Scooter,Rural,Monday,53.7
1.64,1.9,4.4,3,9.4,Clear,Low,Afternoon,Scooter,Suburban,Monday,15.3
1.42,2.0,3.4,8,16.9,Clear,High,Afternoon,Scooter,Urban,Friday,33.2
2.34,1.4,5.0,2,14.8,Clear,High,Night,Bike,Urban,Sunday,45.4
10.08,4.2,4.3,3,25.1,Clear,High,Evening,Bike,Urban,Wednesday,79.3
3.92,5.6,3.7,7,31.2,Cloudy,High,Evening,Bicycle,Urban,Saturday,64.7
5.39,0.8,5.0,2,23.4,Cloudy,High,Morning,Bicycle,Urban,Sunday,65.6
2.94,1.5,4.1,7,20.7,Clear,Low,Night,Scooter,Suburban,Friday,30.8
6.65,1.0,4.5,4,13.6,Clear,,Afternoon,Scooter,Rural,Friday,31.0
2.1,0.5,4.0,3,16.4,Rain,High,Afternoon,Bike,Urban,Friday,45.1
5.54,3.5,4.4,3,20.9,Clear,Medium,Night,Bike,Suburban,Sunday,39.8
8.83,0.6,4.4,7,18.6,Cloudy,Medium,Afternoon,Bike,Rural,Wednesday,52.1
5.91,3.4,4.5,1,17.0,Fog,Medium,Afternoon,Car,Urban,Saturday,43.7
0.5,4.0,4.6,2,15.1,Clear,Medium,Evening,Bike,Urban,Wednesday,26.6
6.1,3.3,4.2,4,13.3,Cloudy,Medium,Morning,Bike,Suburban,Tuesday,34.5
1.84,3.3,4.2,3,15.1,Fog,Low,Afternoon,Bike,Suburban,Saturday,30.4
2.12,3.0,4.1,9,14.5,Cloudy,High,Morning,Bike,Urban,Saturday,41.4
7.05,5.9,3.8,5,16.1,Storm,Medium,Morning,Bike,Suburban,Saturday,55.0
7.69,8.7,3.8,6,21.9,Clear,Medium,Evening,Scooter,Suburban,Sunday,45.9
4.15,4.2,4.0,4,20.7,Cloudy,High,Evening,Scooter,Suburban,Saturday,51.0
7.36,1.9,4.6,7,35.0,Clear,Low,Afternoon,Scooter,Suburban,Thursday,51.4
2.5,1.5,4.3,3,14.1,Clear,High,Afternoon,Scooter,Urban,Sunday,38.5
2.85,0.6,4.1,8,17.7,Storm,Medium,Afternoon,Car,Urban,Tuesday,48.3
8.87,7.6,4.0,4,16.8,Clear,High,Evening,Bike,Urban,Monday,69.0
3.87,2.7,3.7,7,25.3,,High,Night,Bike,Rural,Thursday,72.2
10.44,2.9,3.8,5,30.1,Cloudy,Medium,Night,Car,Rural,Friday,69.8
3.5,3.4,4.2,3,27.7,Fog,Medium,Afternoon,Scooter,Suburban,Friday,47.5
4.55,2.3,4.2,4,11.3,Storm,High,Afternoon,Scooter,Urban,Saturday,
4.08,3.9,4.4,7,21.4,Cloudy,Medium,Afternoon,Bike,Urban,Monday,40.5
4.49,4.1,4.1,5,23.3,Storm,High,Evening,Bike,Urban,Saturday,73.7
3.44,4.4,4.4,1,37.0,Rain,High,Afternoon,Bike,Urban,Friday,63.1
4.44,1.0,3.6,5,26.7,Cloudy,Medium,Evening,Car,Urban,Sunday,55.2
5.42,0.4,3.8,5,13.0,Cloudy,Low,Evening,Scooter,Suburban,Wednesday,36.5
2.97,5.7,4.3,4,31.8,Clear,High,Afternoon,Bike,Urban,Friday,54.8
3.52,2.8,4.2,5,16.4,Clear,Low,Afternoon,Bike,Suburban,Saturday,24.3
9.94,1.7,4.4,4,26.9,Clear,Low,Afternoon,Bike,Rural,Thursday,51.3
7.4,6.2,4.6,4,28.6,Clear,High,Morning,Bike,Suburban,Tuesday,64.8
1.01,1.8,4.6,6,22.1,Clear,Medium,Morning,Scooter,Urban,Monday,35.1
8.07,1.6,4.8,6,13.9,Cloudy,Medium,Evening,Bike,Rural,Monday,51.5
11.19,2.2,4.8,3,,Cloudy,Low,Afternoon,Car,Suburban,Thursday,40.5
5.02,1.9,4.0,5,,Cloudy,High,Morning,Scooter,Urban,Friday,54.4
4.91,1.9,5.0,3,29.1,Fog,Medium,Evening,Car,Suburban,Friday,56.5
21.24,5.3,5.0,9,24.6,,High,Evening,Car,Rural,Friday,138.5
4.85,7.9,3.7,2,22.1,Fog,Medium,Afternoon,Bicycle,Urban,Monday,47.6
2.71,1.4,3.9,2,16.6,Cloudy,High,Evening,Bicycle,Urban,Monday,51.0
0.5,3.3,4.3,6,26.4,Clear,Medium,Night,Bike,Urban,Saturday,35.3
3.38,2.0,4.2,5,13.3,Fog,Medium,Evening,Bike,Urban,Saturday,42.3
3.97,6.6,3.5,4,24.5,Clear,Medium,Evening,Bike,Suburban,Friday,41.5
6.67,4.2,3.8,3,9.9,Clear,High,Morning,Scooter,Urban,Saturday,49.5
6.91,3.4,4.2,6,15.7,Clear,High,Night,Scooter,Urban,Sunday,52.4
5.57,5.2,4.1,7,20.4,,High,Afternoon,Bike,Urban,Sunday,50.8
7.58,6.2,4.4,7,23.5,Rain,Low,Night,Car,Urban,Friday,47.3
4.46,5.1,4.9,9,29.2,Clear,Medium,Evening,Car,Urban,Wednesday,47.6
1.05,5.0,3.7,3,13.9,Rain,Medium,Morning,Scooter,Suburban,Monday,30.6
3.2,8.6,5.0,1,17.4,Clear,Medium,Morning,Scooter,Urban,Friday,31.1
3.22,4.4,4.9,6,16.2,Clear,High,Evening,Bike,Urban,Thursday,41.2
4.18,1.7,3.5,7,17.0,Clear,High,Evening,Scooter,Suburban,Tuesday,45.6
14.42,3.7,3.7,6,17.2,Clear,High,Morning,Bike,Rural,Tuesday,90.0
3.74,2.4,4.0,3,25.4,Rain,High,Evening,Scooter,Urban,Sunday,58.4
3.8,8.2,3.8,2,21.0,Clear,Medium,Evening,Bike,Urban,Monday,32.3
16.07,2.5,4.4,3,16.3,Clear,Low,Afternoon,Bike,Urban,Saturday,61.2
1.87,2.6,4.4,5,9.1,Clear,High,Afternoon,Scooter,Urban,Sunday,31.2
4.74,2.9,4.2,3,25.3,Rain,High,Morning,Scooter,Urban,Friday,61.8
7.36,3.9,4.3,2,16.0,Storm,Medium,Evening,Bike,Rural,Monday,53.8
5.06,2.0,4.1,4,26.6,Cloudy,Medium,Afternoon,Bicycle,Suburban,Saturday,51.4
8.37,2.0,4.3,7,25.3,Cloudy,Medium,Evening,Bike,Urban,Friday,55.4
12.57,1.7,4.9,3,11.2,Fog,High,Afternoon,Car,Rural,Tuesday,85.1
4.68,7.7,3.2,5,20.0,Clear,Medium,Evening,Bike,Urban,Friday,45.1
3.85,4.8,4.2,1,7.4,Clear,Medium,Afternoon,Bike,Urban,Monday,29.5
7.59,2.8,4.3,4,29.1,Cloudy,High,Morning,Bicycle,Urban,Friday,82.6
6.44,2.3,4.1,7,17.9,Clear,High,Evening,Car,Urban,Sunday,61.7
6.03,1.6,4.3,4,18.7,Cloudy,Medium,Afternoon,Scooter,Rural,Thursday,45.6
14.97,2.5,4.6,7,14.6,Cloudy,Low,Afternoon,Car,Urban,Sunday,55.7
2.27,2.8,4.0,3,37.7,Clear,Low,Night,Bike,Suburban,Thursday,41.5
14.25,6.7,5.0,6,30.1,Cloudy,Medium,Night,Car,Urban,Saturday,67.7
10.09,1.5,3.6,4,19.7,Clear,High,Evening,Bike,Rural,Saturday,78.4
1.44,3.8,4.4,3,8.2,Clear,Low,Morning,Car,Suburban,Monday,25.7
,4.7,4.1,4,13.8,Rain,High,Evening,Bicycle,Urban,Sunday,48.4
4.7,1.9,4.2,3,11.9,Rain,High,Evening,Car,Urban,Sunday,53.6
8.11,,4.4,5,22.0,Clear,Medium,Afternoon,Car,Rural,Wednesday,53.6
6.55,3.7,3.9,1,13.8,Clear,High,Morning,Scooter,Urban,Saturday,54.3
3.76,1.6,4.6,3,22.6,Clear,Medium,Evening,Scooter,Urban,Tuesday,40.2
12.47,4.1,4.9,2,20.9,Clear,Medium,Afternoon,Bike,Rural,Monday,56.6
6.18,3.8,4.0,5,14.6,Clear,Medium,Evening,Car,Urban,Tuesday,50.1
3.33,5.8,4.0,3,14.5,Clear,Medium,Night,Scooter,Urban,Thursday,27.1
2.5,6.1,4.6,4,20.2,Rain,Medium,Evening,Scooter,Urban,Monday,45.9
0.59,0.9,4.5,4,19.1,Rain,High,Afternoon,Car,Urban,Tuesday,42.2
14.66,4.7,3.6,4,14.9,Rain,Medium,Afternoon,Bike,Urban,Sunday,63.3
5.91,4.1,4.4,4,31.7,Cloudy,Low,Afternoon,Car,Urban,Thursday,52.7
1.59,4.0,4.4,3,6.7,Rain,High,Morning,Car,Urban,Saturday,39.0
3.75,6.2,4.1,3,7.4,Rain,High,Evening,Bike,Urban,Tuesday,38.6
7.54,1.6,4.7,7,21.8,Fog,Medium,Evening,Bike,Urban,Monday,57.4
6.6,6.1,3.5,4,25.8,Rain,Low,Afternoon,Scooter,Rural,Saturday,46.0
1.27,4.7,3.3,3,13.5,Rain,Medium,Afternoon,Bike,Urban,Wednesday,23.7
6.41,0.8,4.6,4,10.0,Rain,High,Evening,Bicycle,Urban,Thursday,61.9
1.28,2.2,3.8,6,10.3,Cloudy,High,Morning,Bike,Urban,Sunday,35.0
7.01,3.3,4.1,5,10.9,Clear,High,Afternoon,Bike,Suburban,Wednesday,53.0
5.17,0.9,3.7,4,11.8,Clear,Medium,Afternoon,Bike,Urban,Thursday,35.5
3.84,4.6,4.5,4,9.8,Clear,Medium,Evening,Car,Urban,Friday,34.7
3.72,6.2,4.3,3,33.6,Clear,Medium,Morning,Scooter,Suburban,Monday,53.1
3.21,5.5,4.1,9,11.2,Clear,Medium,Evening,Car,Urban,Friday,34.4
5.9,5.1,3.7,2,15.0,Clear,Medium,Afternoon,Bicycle,Suburban,Thursday,43.5
7.59,2.3,4.1,5,14.8,Clear,Medium,Evening,Scooter,Rural,Tuesday,44.8
2.64,4.6,4.3,2,16.4,Storm,Medium,Morning,Bike,Suburban,Thursday,46.6
9.48,8.4,3.9,2,10.1,Clear,Low,Afternoon,Bike,Urban,Thursday,35.3
13.66,1.3,4.0,4,16.7,Clear,Medium,Afternoon,Car,Urban,Friday,60.5
3.48,1.1,4.2,5,10.1,Clear,High,Morning,Bike,Urban,Sunday,46.2
4.35,1.6,4.4,5,16.5,Clear,Medium,Morning,Car,Suburban,Saturday,43.4
4.94,3.2,4.3,4,23.1,Cloudy,High,Morning,Car,Rural,Wednesday,62.1
,1.5,4.6,6,,Cloudy,Medium,Afternoon,Scooter,Rural,Sunday,48.7
0.63,5.2,4.1,4,24.6,Clear,Medium,Morning,Scooter,Urban,Saturday,39.7
1.03,3.4,4.5,3,25.0,Cloudy,Low,Night,Bicycle,Suburban,Monday,31.3
2.92,3.3,3.7,4,9.0,Clear,High,Afternoon,Car,Urban,Monday,38.1
7.21,6.2,4.3,6,13.2,Cloudy,Medium,Evening,Scooter,Suburban,Tuesday,40.7
3.85,0.9,4.3,3,14.9,Fog,High,Night,Scooter,Urban,Monday,48.1
9.2,4.0,5.0,7,32.9,Fog,Medium,Morning,Scooter,Urban,Thursday,68.7
2.66,4.2,3.9,2,20.8,Clear,High,Evening,Bike,Urban,Wednesday,46.8
15.11,7.5,3.7,5,8.1,Rain,Medium,Evening,Bicycle,Rural,Sunday,85.2
16.38,11.2,3.9,2,24.8,Rain,Medium,Evening,Scooter,Urban,Thursday,74.4
5.07,1.2,3.9,7,23.0,Rain,High,Afternoon,Car,Urban,Tuesday,57.4
0.59,2.3,4.3,4,21.5,Clear,Medium,Afternoon,Bike,Urban,Sunday,35.5
0.57,0.6,3.7,4,21.2,Cloudy,Medium,Morning,Car,Urban,Thursday,43.3
8.06,1.5,4.3,4,14.6,Clear,Low,Afternoon,Bike,Rural,Monday,39.6
2.13,7.8,4.2,1,6.0,Clear,,Night,Car,Urban,Monday,16.1
6.9,5.4,4.5,6,27.0,Cloudy,Medium,Night,Bike,Urban,Friday,50.0
2.84,2.8,4.4,5,11.5,Clear,,Morning,Car,Suburban,Thursday,41.2
8.12,3.1,4.5,4,14.2,Clear,Medium,Evening,Scooter,Urban,Friday,43.4
2.45,1.2,4.3,4,18.8,Rain,Medium,Afternoon,Scooter,Urban,Saturday,35.4
16.01,1.3,4.6,5,12.9,Cloudy,Low,Night,Bike,Urban,Friday,50.1
9.53,3.2,3.6,1,9.3,Storm,Medium,Morning,Bike,Urban,Saturday,55.6
2.69,2.1,3.6,4,12.0,Rain,Medium,Night,Bike,Urban,Saturday,33.7
1.92,5.2,4.1,3,20.9,Rain,High,Evening,Bike,Urban,Friday,48.0
9.61,5.9,4.2,6,14.6,Rain,High,Morning,Scooter,Urban,Monday,72.7
1.55,2.2,3.8,5,11.5,Clear,Medium,Morning,Scooter,Suburban,Thursday,23.4
2.53,4.2,4.4,3,14.7,Clear,High,Evening,Bike,Suburban,Thursday,35.7
8.01,3.1,3.7,5,21.0,Fog,Medium,Morning,Scooter,Rural,Thursday,61.1
4.58,3.0,4.0,7,22.0,Clear,Medium,Afternoon,Bike,Urban,Wednesday,37.5
8.48,7.7,4.1,5,9.0,Clear,High,Night,Bike,Urban,Friday,51.8
5.21,1.0,4.4,4,22.7,Cloudy,Medium,Evening,Car,Rural,Wednesday,51.9
7.37,7.5,4.0,6,11.7,Clear,High,Afternoon,Scooter,Suburban,Thursday,48.4
4.81,5.5,4.6,6,15.4,Clear,Low,Afternoon,Scooter,Urban,Wednesday,23.5
1.49,4.0,4.8,6,20.4,Cloudy,High,Morning,Bicycle,Urban,Sunday,51.5
2.6,5.1,4.7,3,12.3,Clear,High,Night,Car,Urban,Wednesday,39.7
1.03,3.0,4.8,2,33.6,Cloudy,Medium,Afternoon,Scooter,Urban,Saturday,44.3
1.43,2.2,4.6,1,9.7,Clear,Medium,Morning,Scooter,Urban,Friday,31.8
11.44,1.6,4.4,6,16.4,Cloudy,High,Afternoon,Car,Urban,Wednesday,74.5
11.07,5.6,3.9,2,24.4,Clear,High,Night,Car,Rural,Saturday,83.1
3.8,3.8,3.9,4,15.8,Cloudy,High,Morning,Bike,Urban,Sunday,45.0
4.19,9.2,4.5,5,32.3,Clear,Medium,Evening,Scooter,Suburban,Saturday,46.4
1.88,5.3,3.5,6,19.1,Clear,High,Evening,Car,Urban,Sunday,51.6
2.86,4.0,4.7,2,9.1,Rain,Medium,Evening,Car,Suburban,Thursday,33.9
5.04,2.1,3.9,3,31.0,Clear,Medium,Night,Bike,Suburban,Sunday,50.3
0.8,2.4,3.9,3,18.6,Rain,Medium,Evening,Scooter,Urban,Sunday,35.6
0.5,2.0,4.4,3,,Clear,Low,Night,Scooter,Suburban,Saturday,17.0
2.41,4.4,4.3,5,20.6,Clear,High,Morning,Bike,Suburban,Saturday,47.9
2.11,2.9,4.0,5,49.3,Clear,Medium,Evening,Scooter,Suburban,Saturday,73.7
8.84,2.2,3.8,6,15.4,Fog,Medium,Afternoon,Scooter,Urban,Thursday,48.5
4.76,9.7,3.6,4,21.8,Clear,Medium,Afternoon,Bike,Rural,Thursday,37.2
5.12,6.6,3.3,7,15.3,Clear,High,Night,Bike,Urban,Wednesday,46.8
2.11,3.3,,2,14.5,Cloudy,Medium,Night,Car,Urban,Friday,33.8
4.91,3.5,4.1,4,16.2,Clear,Medium,Evening,Car,Urban,Wednesday,36.8
4.32,5.5,3.8,2,19.4,Rain,High,Afternoon,Car,Urban,Saturday,54.3
10.31,3.0,4.4,6,12.8,Storm,High,Afternoon,Car,Urban,Thursday,85.7
1.73,1.2,3.9,2,21.1,Cloudy,Medium,Afternoon,Bicycle,Urban,Wednesday,40.7
1.73,2.0,3.9,4,8.7,Cloudy,Low,Afternoon,Scooter,Suburban,Tuesday,16.8
17.68,3.5,4.6,4,23.6,Clear,Medium,Afternoon,Bike,Urban,Tuesday,65.1
13.67,3.5,4.4,6,10.1,Storm,High,Morning,Car,Rural,Friday,101.4
2.57,0.8,4.2,2,11.9,Cloudy,Medium,Morning,Scooter,Urban,Wednesday,34.7
1.81,5.5,3.9,4,19.8,Clear,Medium,Evening,Bike,Suburban,Monday,27.9
4.06,0.9,4.2,6,22.5,Storm,Medium,Afternoon,Bicycle,Rural,Wednesday,60.4
8.04,1.5,4.4,5,19.6,Storm,High,Night,Bike,Suburban,Wednesday,80.2
2.24,5.8,4.2,2,22.4,Clear,High,Evening,Car,Suburban,Tuesday,41.7
1.92,2.8,4.6,4,16.3,Clear,Medium,Morning,Scooter,Suburban,Wednesday,27.3
1.88,7.0,3.8,5,14.8,Rain,Medium,Morning,Bike,Urban,Friday,32.1
5.68,6.2,4.1,8,20.3,Rain,Medium,Morning,Car,Urban,Saturday,51.2
3.17,1.2,4.4,3,11.4,Cloudy,Low,Night,Car,Urban,Sunday,25.5
8.22,2.5,3.9,3,20.1,,High,Morning,Scooter,Urban,Monday,62.1
13.02,2.1,4.5,6,20.0,Clear,Medium,Afternoon,Scooter,Urban,Wednesday,57.3
4.33,2.3,4.7,2,21.9,Clear,Medium,Night,Bike,Urban,Monday,41.7
11.62,2.0,4.2,2,10.8,Clear,Medium,Night,Bike,Rural,Friday,49.3
6.98,1.4,4.3,6,18.3,Rain,High,Morning,Bike,Rural,Monday,59.9
4.19,6.6,4.1,4,14.7,Clear,Medium,Morning,Bike,Suburban,Tuesday,29.1
0.62,1.6,4.0,6,10.7,Clear,High,Morning,Bike,Suburban,Friday,30.2
4.97,2.7,4.6,3,11.7,Rain,Medium,Morning,Scooter,Urban,Wednesday,40.0
7.05,1.5,3.8,3,16.2,Clear,Medium,Morning,Bike,Urban,Thursday,43.1
1.51,3.6,4.5,4,11.7,Clear,High,Evening,Scooter,Suburban,Friday,33.0
11.6,2.7,4.0,3,5.0,Fog,High,Night,Bike,Suburban,Saturday,74.1
2.45,2.2,3.8,1,,Clear,Medium,Afternoon,Bike,Urban,Wednesday,29.9
,6.5,4.5,1,16.1,Fog,High,Evening,Bicycle,Urban,Tuesday,83.5
6.03,2.9,4.4,3,16.3,Clear,Medium,Morning,Bicycle,Urban,Thursday,46.7
1.36,3.1,3.9,4,43.8,Clear,High,Evening,Car,Urban,Monday,72.3
